Year,Observation status,Unit multiplier,Nature of data points,Frequency of observation,Reporting type,SERIES,Reference area,Sex,Age,Degree of urbanisation,UNIT_MEASURE,Value
2010,Normal value,Units,Not Available,Annual,National,Under-five mortality rate [3.2.1],Viet Nam,,under 5 years old,,"Per 1,000 live births",23.8
2011,Normal value,Units,Not Available,Annual,National,Under-five mortality rate [3.2.1],Viet Nam,,under 5 years old,,"Per 1,000 live births",23.3
2012,Normal value,Units,Not Available,Annual,National,Under-five mortality rate [3.2.1],Viet Nam,,under 5 years old,,"Per 1,000 live births",23.2
2013,Normal value,Units,Not Available,Annual,National,Under-five mortality rate [3.2.1],Viet Nam,,under 5 years old,,"Per 1,000 live births",23.1
2014,Normal value,Units,Not Available,Annual,National,Under-five mortality rate [3.2.1],Viet Nam,,under 5 years old,,"Per 1,000 live births",22.4
2015,Normal value,Units,Not Available,Annual,National,Under-five mortality rate [3.2.1],Viet Nam,,under 5 years old,,"Per 1,000 live births",22.1
2016,Normal value,Units,Not Available,Annual,National,Under-five mortality rate [3.2.1],Viet Nam,,under 5 years old,,"Per 1,000 live births",21.8
2017,Normal value,Units,Not Available,Annual,National,Under-five mortality rate [3.2.1],Viet Nam,,under 5 years old,,"Per 1,000 live births",21.5
2018,Normal value,Units,Not Available,Annual,National,Under-five mortality rate [3.2.1],Viet Nam,,under 5 years old,,"Per 1,000 live births",21.4
2019,Normal value,Units,Not Available,Annual,National,Under-five mortality rate [3.2.1],Viet Nam,,under 5 years old,,"Per 1,000 live births",21.0
2010,Normal value,Units,Not Available,Annual,National,Under-five mortality rate [3.2.1],Viet Nam,Male,under 5 years old,,"Per 1,000 live births",30.7
2011,Normal value,Units,Not Available,Annual,National,Under-five mortality rate [3.2.1],Viet Nam,Male,under 5 years old,,"Per 1,000 live births",30.2
2012,Normal value,Units,Not Available,Annual,National,Under-five mortality rate [3.2.1],Viet Nam,Male,under 5 years old,,"Per 1,000 live births",30.1
2013,Normal value,Units,Not Available,Annual,National,Under-five mortality rate [3.2.1],Viet Nam,Male,under 5 years old,,"Per 1,000 live births",29.9
2014,Normal value,Units,Not Available,Annual,National,Under-five mortality rate [3.2.1],Viet Nam,Male,under 5 years old,,"Per 1,000 live births",29.1
2015,Normal value,Units,Not Available,Annual,National,Under-five mortality rate [3.2.1],Viet Nam,Male,under 5 years old,,"Per 1,000 live births",28.7
2016,Normal value,Units,Not Available,Annual,National,Under-five mortality rate [3.2.1],Viet Nam,Male,under 5 years old,,"Per 1,000 live births",28.3
2017,Normal value,Units,Not Available,Annual,National,Under-five mortality rate [3.2.1],Viet Nam,Male,under 5 years old,,"Per 1,000 live births",28.0
2018,Normal value,Units,Not Available,Annual,National,Under-five mortality rate [3.2.1],Viet Nam,Male,under 5 years old,,"Per 1,000 live births",27.8
2019,Normal value,Units,Not Available,Annual,National,Under-five mortality rate [3.2.1],Viet Nam,Male,under 5 years old,,"Per 1,000 live births",27.3
2010,Normal value,Units,Not Available,Annual,National,Under-five mortality rate [3.2.1],Viet Nam,Female,under 5 years old,,"Per 1,000 live births",16.3
2011,Normal value,Units,Not Available,Annual,National,Under-five mortality rate [3.2.1],Viet Nam,Female,under 5 years old,,"Per 1,000 live births",16.0
2012,Normal value,Units,Not Available,Annual,National,Under-five mortality rate [3.2.1],Viet Nam,Female,under 5 years old,,"Per 1,000 live births",15.9
2013,Normal value,Units,Not Available,Annual,National,Under-five mortality rate [3.2.1],Viet Nam,Female,under 5 years old,,"Per 1,000 live births",15.8
2014,Normal value,Units,Not Available,Annual,National,Under-five mortality rate [3.2.1],Viet Nam,Female,under 5 years old,,"Per 1,000 live births",15.4
2015,Normal value,Units,Not Available,Annual,National,Under-five mortality rate [3.2.1],Viet Nam,Female,under 5 years old,,"Per 1,000 live births",15.1
2016,Normal value,Units,Not Available,Annual,National,Under-five mortality rate [3.2.1],Viet Nam,Female,under 5 years old,,"Per 1,000 live births",14.9
2017,Normal value,Units,Not Available,Annual,National,Under-five mortality rate [3.2.1],Viet Nam,Female,under 5 years old,,"Per 1,000 live births",14.7
2018,Normal value,Units,Not Available,Annual,National,Under-five mortality rate [3.2.1],Viet Nam,Female,under 5 years old,,"Per 1,000 live births",14.5
2019,Normal value,Units,Not Available,Annual,National,Under-five mortality rate [3.2.1],Viet Nam,Female,under 5 years old,,"Per 1,000 live births",14.2
2010,Normal value,Units,Not Available,Annual,National,Under-five mortality rate [3.2.1],Viet Nam,,under 5 years old,Urban,"Per 1,000 live births",13.7
2011,Normal value,Units,Not Available,Annual,National,Under-five mortality rate [3.2.1],Viet Nam,,under 5 years old,Urban,"Per 1,000 live births",12.8
2012,Normal value,Units,Not Available,Annual,National,Under-five mortality rate [3.2.1],Viet Nam,,under 5 years old,Urban,"Per 1,000 live births",13.4
2013,Normal value,Units,Not Available,Annual,National,Under-five mortality rate [3.2.1],Viet Nam,,under 5 years old,Urban,"Per 1,000 live births",13.3
2014,Normal value,Units,Not Available,Annual,National,Under-five mortality rate [3.2.1],Viet Nam,,under 5 years old,Urban,"Per 1,000 live births",13.1
2015,Normal value,Units,Not Available,Annual,National,Under-five mortality rate [3.2.1],Viet Nam,,under 5 years old,Urban,"Per 1,000 live births",12.9
2016,Normal value,Units,Not Available,Annual,National,Under-five mortality rate [3.2.1],Viet Nam,,under 5 years old,Urban,"Per 1,000 live births",12.9
2017,Normal value,Units,Not Available,Annual,National,Under-five mortality rate [3.2.1],Viet Nam,,under 5 years old,Urban,"Per 1,000 live births",12.7
2018,Normal value,Units,Not Available,Annual,National,Under-five mortality rate [3.2.1],Viet Nam,,under 5 years old,Urban,"Per 1,000 live births",12.6
2019,Normal value,Units,Not Available,Annual,National,Under-five mortality rate [3.2.1],Viet Nam,,under 5 years old,Urban,"Per 1,000 live births",12.3
2010,Normal value,Units,Not Available,Annual,National,Under-five mortality rate [3.2.1],Viet Nam,,under 5 years old,Rural,"Per 1,000 live births",27.4
2011,Normal value,Units,Not Available,Annual,National,Under-five mortality rate [3.2.1],Viet Nam,,under 5 years old,Rural,"Per 1,000 live births",27.2
2012,Normal value,Units,Not Available,Annual,National,Under-five mortality rate [3.2.1],Viet Nam,,under 5 years old,Rural,"Per 1,000 live births",27.6
2013,Normal value,Units,Not Available,Annual,National,Under-five mortality rate [3.2.1],Viet Nam,,under 5 years old,Rural,"Per 1,000 live births",27.5
2014,Normal value,Units,Not Available,Annual,National,Under-five mortality rate [3.2.1],Viet Nam,,under 5 years old,Rural,"Per 1,000 live births",26.9
2015,Normal value,Units,Not Available,Annual,National,Under-five mortality rate [3.2.1],Viet Nam,,under 5 years old,Rural,"Per 1,000 live births",26.5
2016,Normal value,Units,Not Available,Annual,National,Under-five mortality rate [3.2.1],Viet Nam,,under 5 years old,Rural,"Per 1,000 live births",26.4
2017,Normal value,Units,Not Available,Annual,National,Under-five mortality rate [3.2.1],Viet Nam,,under 5 years old,Rural,"Per 1,000 live births",26.0
2018,Normal value,Units,Not Available,Annual,National,Under-five mortality rate [3.2.1],Viet Nam,,under 5 years old,Rural,"Per 1,000 live births",25.7
2019,Normal value,Units,Not Available,Annual,National,Under-five mortality rate [3.2.1],Viet Nam,,under 5 years old,Rural,"Per 1,000 live births",25.1
2010,Normal value,Units,Not Available,Annual,National,Under-five mortality rate [3.2.1],Red River Delta,,under 5 years old,,"Per 1,000 live births",18.4
2012,Normal value,Units,Not Available,Annual,National,Under-five mortality rate [3.2.1],Red River Delta,,under 5 years old,,"Per 1,000 live births",18.4
2013,Normal value,Units,Not Available,Annual,National,Under-five mortality rate [3.2.1],Red River Delta,,under 5 years old,,"Per 1,000 live births",18.3
2014,Normal value,Units,Not Available,Annual,National,Under-five mortality rate [3.2.1],Red River Delta,,under 5 years old,,"Per 1,000 live births",17.7
2015,Normal value,Units,Not Available,Annual,National,Under-five mortality rate [3.2.1],Red River Delta,,under 5 years old,,"Per 1,000 live births",17.5
2016,Normal value,Units,Not Available,Annual,National,Under-five mortality rate [3.2.1],Red River Delta,,under 5 years old,,"Per 1,000 live births",17.1
2017,Normal value,Units,Not Available,Annual,National,Under-five mortality rate [3.2.1],Red River Delta,,under 5 years old,,"Per 1,000 live births",16.9
2018,Normal value,Units,Not Available,Annual,National,Under-five mortality rate [3.2.1],Red River Delta,,under 5 years old,,"Per 1,000 live births",16.8
2019,Normal value,Units,Not Available,Annual,National,Under-five mortality rate [3.2.1],Red River Delta,,under 5 years old,,"Per 1,000 live births",16.5
2010,Normal value,Units,Not Available,Annual,National,Under-five mortality rate [3.2.1],Northern midlands and mountain areas,,under 5 years old,,"Per 1,000 live births",36.9
2012,Normal value,Units,Not Available,Annual,National,Under-five mortality rate [3.2.1],Northern midlands and mountain areas,,under 5 years old,,"Per 1,000 live births",35.7
2013,Normal value,Units,Not Available,Annual,National,Under-five mortality rate [3.2.1],Northern midlands and mountain areas,,under 5 years old,,"Per 1,000 live births",35.2
2014,Normal value,Units,Not Available,Annual,National,Under-five mortality rate [3.2.1],Northern midlands and mountain areas,,under 5 years old,,"Per 1,000 live births",33.9
2015,Normal value,Units,Not Available,Annual,National,Under-five mortality rate [3.2.1],Northern midlands and mountain areas,,under 5 years old,,"Per 1,000 live births",33.4
2016,Normal value,Units,Not Available,Annual,National,Under-five mortality rate [3.2.1],Northern midlands and mountain areas,,under 5 years old,,"Per 1,000 live births",32.5
2017,Normal value,Units,Not Available,Annual,National,Under-five mortality rate [3.2.1],Northern midlands and mountain areas,,under 5 years old,,"Per 1,000 live births",32.4
2018,Normal value,Units,Not Available,Annual,National,Under-five mortality rate [3.2.1],Northern midlands and mountain areas,,under 5 years old,,"Per 1,000 live births",32.5
2019,Normal value,Units,Not Available,Annual,National,Under-five mortality rate [3.2.1],Northern midlands and mountain areas,,under 5 years old,,"Per 1,000 live births",31.5
2010,Normal value,Units,Not Available,Annual,National,Under-five mortality rate [3.2.1],Northern Central area and Central coastal area,,under 5 years old,,"Per 1,000 live births",25.7
2012,Normal value,Units,Not Available,Annual,National,Under-five mortality rate [3.2.1],Northern Central area and Central coastal area,,under 5 years old,,"Per 1,000 live births",25.8
2013,Normal value,Units,Not Available,Annual,National,Under-five mortality rate [3.2.1],Northern Central area and Central coastal area,,under 5 years old,,"Per 1,000 live births",25.5
2014,Normal value,Units,Not Available,Annual,National,Under-five mortality rate [3.2.1],Northern Central area and Central coastal area,,under 5 years old,,"Per 1,000 live births",24.9
2015,Normal value,Units,Not Available,Annual,National,Under-five mortality rate [3.2.1],Northern Central area and Central coastal area,,under 5 years old,,"Per 1,000 live births",24.5
2016,Normal value,Units,Not Available,Annual,National,Under-five mortality rate [3.2.1],Northern Central area and Central coastal area,,under 5 years old,,"Per 1,000 live births",24.1
2017,Normal value,Units,Not Available,Annual,National,Under-five mortality rate [3.2.1],Northern Central area and Central coastal area,,under 5 years old,,"Per 1,000 live births",23.9
2018,Normal value,Units,Not Available,Annual,National,Under-five mortality rate [3.2.1],Northern Central area and Central coastal area,,under 5 years old,,"Per 1,000 live births",23.7
2019,Normal value,Units,Not Available,Annual,National,Under-five mortality rate [3.2.1],Northern Central area and Central coastal area,,under 5 years old,,"Per 1,000 live births",23.2
2010,Normal value,Units,Not Available,Annual,National,Under-five mortality rate [3.2.1],Central Highlands,,under 5 years old,,"Per 1,000 live births",40.9
2012,Normal value,Units,Not Available,Annual,National,Under-five mortality rate [3.2.1],Central Highlands,,under 5 years old,,"Per 1,000 live births",40.2
2013,Normal value,Units,Not Available,Annual,National,Under-five mortality rate [3.2.1],Central Highlands,,under 5 years old,,"Per 1,000 live births",39.8
2014,Normal value,Units,Not Available,Annual,National,Under-five mortality rate [3.2.1],Central Highlands,,under 5 years old,,"Per 1,000 live births",39.5
2015,Normal value,Units,Not Available,Annual,National,Under-five mortality rate [3.2.1],Central Highlands,,under 5 years old,,"Per 1,000 live births",37.7
2016,Normal value,Units,Not Available,Annual,National,Under-five mortality rate [3.2.1],Central Highlands,,under 5 years old,,"Per 1,000 live births",36.5
2017,Normal value,Units,Not Available,Annual,National,Under-five mortality rate [3.2.1],Central Highlands,,under 5 years old,,"Per 1,000 live births",36.0
2018,Normal value,Units,Not Available,Annual,National,Under-five mortality rate [3.2.1],Central Highlands,,under 5 years old,,"Per 1,000 live births",35.8
2019,Normal value,Units,Not Available,Annual,National,Under-five mortality rate [3.2.1],Central Highlands,,under 5 years old,,"Per 1,000 live births",35.5
2010,Normal value,Units,Not Available,Annual,National,Under-five mortality rate [3.2.1],South East,,under 5 years old,,"Per 1,000 live births",14.3
2012,Normal value,Units,Not Available,Annual,National,Under-five mortality rate [3.2.1],South East,,under 5 years old,,"Per 1,000 live births",13.7
2013,Normal value,Units,Not Available,Annual,National,Under-five mortality rate [3.2.1],South East,,under 5 years old,,"Per 1,000 live births",13.5
2014,Normal value,Units,Not Available,Annual,National,Under-five mortality rate [3.2.1],South East,,under 5 years old,,"Per 1,000 live births",13.1
2015,Normal value,Units,Not Available,Annual,National,Under-five mortality rate [3.2.1],South East,,under 5 years old,,"Per 1,000 live births",12.9
2016,Normal value,Units,Not Available,Annual,National,Under-five mortality rate [3.2.1],South East,,under 5 years old,,"Per 1,000 live births",12.8
2017,Normal value,Units,Not Available,Annual,National,Under-five mortality rate [3.2.1],South East,,under 5 years old,,"Per 1,000 live births",12.6
2018,Normal value,Units,Not Available,Annual,National,Under-five mortality rate [3.2.1],South East,,under 5 years old,,"Per 1,000 live births",12.4
2019,Normal value,Units,Not Available,Annual,National,Under-five mortality rate [3.2.1],South East,,under 5 years old,,"Per 1,000 live births",12.7
2010,Normal value,Units,Not Available,Annual,National,Under-five mortality rate [3.2.1],Mekong River Delta,,under 5 years old,,"Per 1,000 live births",18.9
2012,Normal value,Units,Not Available,Annual,National,Under-five mortality rate [3.2.1],Mekong River Delta,,under 5 years old,,"Per 1,000 live births",18.0
2013,Normal value,Units,Not Available,Annual,National,Under-five mortality rate [3.2.1],Mekong River Delta,,under 5 years old,,"Per 1,000 live births",17.9
2014,Normal value,Units,Not Available,Annual,National,Under-five mortality rate [3.2.1],Mekong River Delta,,under 5 years old,,"Per 1,000 live births",17.4
2015,Normal value,Units,Not Available,Annual,National,Under-five mortality rate [3.2.1],Mekong River Delta,,under 5 years old,,"Per 1,000 live births",17.0
2016,Normal value,Units,Not Available,Annual,National,Under-five mortality rate [3.2.1],Mekong River Delta,,under 5 years old,,"Per 1,000 live births",16.7
2017,Normal value,Units,Not Available,Annual,National,Under-five mortality rate [3.2.1],Mekong River Delta,,under 5 years old,,"Per 1,000 live births",16.4
2018,Normal value,Units,Not Available,Annual,National,Under-five mortality rate [3.2.1],Mekong River Delta,,under 5 years old,,"Per 1,000 live births",16.3
2019,Normal value,Units,Not Available,Annual,National,Under-five mortality rate [3.2.1],Mekong River Delta,,under 5 years old,,"Per 1,000 live births",15.9
2010,Normal value,Units,Not Available,Annual,National,Under-five mortality rate [3.2.1],Ha Noi,,under 5 years old,,"Per 1,000 live births",15.5
2012,Normal value,Units,Not Available,Annual,National,Under-five mortality rate [3.2.1],Ha Noi,,under 5 years old,,"Per 1,000 live births",15.7
2013,Normal value,Units,Not Available,Annual,National,Under-five mortality rate [3.2.1],Ha Noi,,under 5 years old,,"Per 1,000 live births",15.8
2014,Normal value,Units,Not Available,Annual,National,Under-five mortality rate [3.2.1],Ha Noi,,under 5 years old,,"Per 1,000 live births",15.2
2015,Normal value,Units,Not Available,Annual,National,Under-five mortality rate [3.2.1],Ha Noi,,under 5 years old,,"Per 1,000 live births",15.2
2016,Normal value,Units,Not Available,Annual,National,Under-five mortality rate [3.2.1],Ha Noi,,under 5 years old,,"Per 1,000 live births",14.9
2017,Normal value,Units,Not Available,Annual,National,Under-five mortality rate [3.2.1],Ha Noi,,under 5 years old,,"Per 1,000 live births",14.7
2018,Normal value,Units,Not Available,Annual,National,Under-five mortality rate [3.2.1],Ha Noi,,under 5 years old,,"Per 1,000 live births",14.6
2019,Normal value,Units,Not Available,Annual,National,Under-five mortality rate [3.2.1],Ha Noi,,under 5 years old,,"Per 1,000 live births",14.4
2010,Normal value,Units,Not Available,Annual,National,Under-five mortality rate [3.2.1],Vinh Phuc,,under 5 years old,,"Per 1,000 live births",18.9
2012,Normal value,Units,Not Available,Annual,National,Under-five mortality rate [3.2.1],Vinh Phuc,,under 5 years old,,"Per 1,000 live births",20.6
2013,Normal value,Units,Not Available,Annual,National,Under-five mortality rate [3.2.1],Vinh Phuc,,under 5 years old,,"Per 1,000 live births",20.3
2014,Normal value,Units,Not Available,Annual,National,Under-five mortality rate [3.2.1],Vinh Phuc,,under 5 years old,,"Per 1,000 live births",19.7
2015,Normal value,Units,Not Available,Annual,National,Under-five mortality rate [3.2.1],Vinh Phuc,,under 5 years old,,"Per 1,000 live births",19.3
2016,Normal value,Units,Not Available,Annual,National,Under-five mortality rate [3.2.1],Vinh Phuc,,under 5 years old,,"Per 1,000 live births",19.0
2017,Normal value,Units,Not Available,Annual,National,Under-five mortality rate [3.2.1],Vinh Phuc,,under 5 years old,,"Per 1,000 live births",18.7
2018,Normal value,Units,Not Available,Annual,National,Under-five mortality rate [3.2.1],Vinh Phuc,,under 5 years old,,"Per 1,000 live births",18.6
