Year,Observation status,Unit multiplier,Nature of data points,Frequency of observation,Reporting type,SERIES,Reference area,Degree of urbanisation,UNIT_MEASURE,Value
2014,Normal value,Units,Not Available,Annual,National,Proportion of population with large household expenditures on health (greater than 10%) as a share of total household expenditure or income [3.8.2],Viet Nam,,Percent,9.81
2016,Normal value,Units,Not Available,Annual,National,Proportion of population with large household expenditures on health (greater than 10%) as a share of total household expenditure or income [3.8.2],Viet Nam,,Percent,9.39
2014,Normal value,Units,Not Available,Annual,National,Proportion of population with large household expenditures on health (greater than 10%) as a share of total household expenditure or income [3.8.2],Viet Nam,Urban,Percent,7.46
2016,Normal value,Units,Not Available,Annual,National,Proportion of population with large household expenditures on health (greater than 10%) as a share of total household expenditure or income [3.8.2],Viet Nam,Urban,Percent,9.14
2014,Normal value,Units,Not Available,Annual,National,Proportion of population with large household expenditures on health (greater than 10%) as a share of total household expenditure or income [3.8.2],Viet Nam,Rural,Percent,10.83
2016,Normal value,Units,Not Available,Annual,National,Proportion of population with large household expenditures on health (greater than 10%) as a share of total household expenditure or income [3.8.2],Viet Nam,Rural,Percent,9.51
2014,Normal value,Units,Not Available,Annual,National,Proportion of population with large household expenditures on health (greater than 25%) as a share of total household expenditure or income [3.8.2],Viet Nam,,Percent,2.07
2016,Normal value,Units,Not Available,Annual,National,Proportion of population with large household expenditures on health (greater than 25%) as a share of total household expenditure or income [3.8.2],Viet Nam,,Percent,1.9
2014,Normal value,Units,Not Available,Annual,National,Proportion of population with large household expenditures on health (greater than 25%) as a share of total household expenditure or income [3.8.2],Viet Nam,Urban,Percent,1.35
2016,Normal value,Units,Not Available,Annual,National,Proportion of population with large household expenditures on health (greater than 25%) as a share of total household expenditure or income [3.8.2],Viet Nam,Urban,Percent,1.87
2014,Normal value,Units,Not Available,Annual,National,Proportion of population with large household expenditures on health (greater than 25%) as a share of total household expenditure or income [3.8.2],Viet Nam,Rural,Percent,2.37
2016,Normal value,Units,Not Available,Annual,National,Proportion of population with large household expenditures on health (greater than 25%) as a share of total household expenditure or income [3.8.2],Viet Nam,Rural,Percent,2.37
