Year,Observation status,Unit multiplier,Nature of data points,Frequency of observation,Reporting type,SERIES,Reference area,Education level,UNIT_MEASURE,Value
2016,Normal value,Units,Not Available,Annual,National,Proportion of schools with access to electricity [4.a.1],Viet Nam,Primary education,Percent,93.44
2017,Normal value,Units,Not Available,Annual,National,Proportion of schools with access to electricity [4.a.1],Viet Nam,Primary education,Percent,96.31
2018,Normal value,Units,Not Available,Annual,National,Proportion of schools with access to electricity [4.a.1],Viet Nam,Primary education,Percent,92.98
2019,Normal value,Units,Not Available,Annual,National,Proportion of schools with access to electricity [4.a.1],Viet Nam,Primary education,Percent,96.96
2016,Normal value,Units,Not Available,Annual,National,Proportion of schools with access to electricity [4.a.1],Viet Nam,Lower secondary education,Percent,94.0
2017,Normal value,Units,Not Available,Annual,National,Proportion of schools with access to electricity [4.a.1],Viet Nam,Lower secondary education,Percent,96.01
2018,Normal value,Units,Not Available,Annual,National,Proportion of schools with access to electricity [4.a.1],Viet Nam,Lower secondary education,Percent,92.59
2019,Normal value,Units,Not Available,Annual,National,Proportion of schools with access to electricity [4.a.1],Viet Nam,Lower secondary education,Percent,96.34
2016,Normal value,Units,Not Available,Annual,National,Proportion of schools with access to electricity [4.a.1],Viet Nam,Upper secondary education,Percent,88.67
2017,Normal value,Units,Not Available,Annual,National,Proportion of schools with access to electricity [4.a.1],Viet Nam,Upper secondary education,Percent,92.49
2018,Normal value,Units,Not Available,Annual,National,Proportion of schools with access to electricity [4.a.1],Viet Nam,Upper secondary education,Percent,87.4
2019,Normal value,Units,Not Available,Annual,National,Proportion of schools with access to electricity [4.a.1],Viet Nam,Upper secondary education,Percent,93.04
2018,Normal value,Units,Not Available,Annual,National,Proportion of schools with access to the internet for pedagogical purposes [4.a.1],Viet Nam,Primary education,Percent,82.76
2019,Normal value,Units,Not Available,Annual,National,Proportion of schools with access to the internet for pedagogical purposes [4.a.1],Viet Nam,Primary education,Percent,88.88
2018,Normal value,Units,Not Available,Annual,National,Proportion of schools with access to the internet for pedagogical purposes [4.a.1],Viet Nam,Lower secondary education,Percent,88.13
2019,Normal value,Units,Not Available,Annual,National,Proportion of schools with access to the internet for pedagogical purposes [4.a.1],Viet Nam,Lower secondary education,Percent,92.85
2018,Normal value,Units,Not Available,Annual,National,Proportion of schools with access to the internet for pedagogical purposes [4.a.1],Viet Nam,Upper secondary education,Percent,85.47
2019,Normal value,Units,Not Available,Annual,National,Proportion of schools with access to the internet for pedagogical purposes [4.a.1],Viet Nam,Upper secondary education,Percent,91.22
2018,Normal value,Units,Not Available,Annual,National,Proportion of schools with access to computers for pedagogical purposes [4.a.1],Viet Nam,Primary education,Percent,79.13
2019,Normal value,Units,Not Available,Annual,National,Proportion of schools with access to computers for pedagogical purposes [4.a.1],Viet Nam,Primary education,Percent,84.62
2018,Normal value,Units,Not Available,Annual,National,Proportion of schools with access to computers for pedagogical purposes [4.a.1],Viet Nam,Lower secondary education,Percent,87.92
2019,Normal value,Units,Not Available,Annual,National,Proportion of schools with access to computers for pedagogical purposes [4.a.1],Viet Nam,Lower secondary education,Percent,92.06
2018,Normal value,Units,Not Available,Annual,National,Proportion of schools with access to computers for pedagogical purposes [4.a.1],Viet Nam,Upper secondary education,Percent,88.07
2019,Normal value,Units,Not Available,Annual,National,Proportion of schools with access to computers for pedagogical purposes [4.a.1],Viet Nam,Upper secondary education,Percent,93.56
2019,Normal value,Units,Not Available,Annual,National,Proportion of schools with access to adapted infrastructure and materials for students with disabilities [4.a.1],Viet Nam,Primary education,Percent,31.9
2019,Normal value,Units,Not Available,Annual,National,Proportion of schools with access to adapted infrastructure and materials for students with disabilities [4.a.1],Viet Nam,Lower secondary education,Percent,24.9
2019,Normal value,Units,Not Available,Annual,National,Proportion of schools with access to adapted infrastructure and materials for students with disabilities [4.a.1],Viet Nam,Upper secondary education,Percent,17.4
