Year,Observation status,Unit multiplier,Nature of data points,Frequency of observation,Reporting type,SERIES,Reference area,UNIT_MEASURE,Value
2010,Normal value,Units,Not Available,Annual,National,Manufacturing employment as a proportion of total employment [9.2.2],Viet Nam,Percent,13.5
2011,Normal value,Units,Not Available,Annual,National,Manufacturing employment as a proportion of total employment [9.2.2],Viet Nam,Percent,13.8
2012,Normal value,Units,Not Available,Annual,National,Manufacturing employment as a proportion of total employment [9.2.2],Viet Nam,Percent,13.8
2013,Normal value,Units,Not Available,Annual,National,Manufacturing employment as a proportion of total employment [9.2.2],Viet Nam,Percent,13.9
2014,Normal value,Units,Not Available,Annual,National,Manufacturing employment as a proportion of total employment [9.2.2],Viet Nam,Percent,14.1
2015,Normal value,Units,Not Available,Annual,National,Manufacturing employment as a proportion of total employment [9.2.2],Viet Nam,Percent,15.9
2016,Normal value,Units,Not Available,Annual,National,Manufacturing employment as a proportion of total employment [9.2.2],Viet Nam,Percent,17.0
2017,Normal value,Units,Not Available,Annual,National,Manufacturing employment as a proportion of total employment [9.2.2],Viet Nam,Percent,17.8
2018,Normal value,Units,Not Available,Annual,National,Manufacturing employment as a proportion of total employment [9.2.2],Viet Nam,Percent,18.4
2019,Normal value,Units,Not Available,Annual,National,Manufacturing employment as a proportion of total employment [9.2.2],Viet Nam,Percent,20.7
