Year,Observation status,Unit multiplier,Nature of data points,Frequency of observation,Reporting type,SERIES,Reference area,UNIT_MEASURE,Value
2011,Normal value,Units,Not Available,Annual,National,"Number of deaths and missing persons attributed to disasters [1.5.1, 11.5.1, 13.1.1]",Viet Nam,Number,257
2012,Normal value,Units,Not Available,Annual,National,"Number of deaths and missing persons attributed to disasters [1.5.1, 11.5.1, 13.1.1]",Viet Nam,Number,269
2013,Normal value,Units,Not Available,Annual,National,"Number of deaths and missing persons attributed to disasters [1.5.1, 11.5.1, 13.1.1]",Viet Nam,Number,313
2014,Normal value,Units,Not Available,Annual,National,"Number of deaths and missing persons attributed to disasters [1.5.1, 11.5.1, 13.1.1]",Viet Nam,Number,145
2015,Normal value,Units,Not Available,Annual,National,"Number of deaths and missing persons attributed to disasters [1.5.1, 11.5.1, 13.1.1]",Viet Nam,Number,157
2016,Normal value,Units,Not Available,Annual,National,"Number of deaths and missing persons attributed to disasters [1.5.1, 11.5.1, 13.1.1]",Viet Nam,Number,264
2017,Normal value,Units,Not Available,Annual,National,"Number of deaths and missing persons attributed to disasters [1.5.1, 11.5.1, 13.1.1]",Viet Nam,Number,389
2018,Normal value,Units,Not Available,Annual,National,"Number of deaths and missing persons attributed to disasters [1.5.1, 11.5.1, 13.1.1]",Viet Nam,Number,218
2019,Normal value,Units,Not Available,Annual,National,"Number of deaths and missing persons attributed to disasters [1.5.1, 11.5.1, 13.1.1]",Viet Nam,Number,133
2011,Normal value,Units,Not Available,Annual,National,"Number of injured or ill people attributed to disasters [1.5.1, 11.5.1, 13.1.1]",Viet Nam,Number,267
2012,Normal value,Units,Not Available,Annual,National,"Number of injured or ill people attributed to disasters [1.5.1, 11.5.1, 13.1.1]",Viet Nam,Number,440
2013,Normal value,Units,Not Available,Annual,National,"Number of injured or ill people attributed to disasters [1.5.1, 11.5.1, 13.1.1]",Viet Nam,Number,1150
2014,Normal value,Units,Not Available,Annual,National,"Number of injured or ill people attributed to disasters [1.5.1, 11.5.1, 13.1.1]",Viet Nam,Number,165
2015,Normal value,Units,Not Available,Annual,National,"Number of injured or ill people attributed to disasters [1.5.1, 11.5.1, 13.1.1]",Viet Nam,Number,199
2016,Normal value,Units,Not Available,Annual,National,"Number of injured or ill people attributed to disasters [1.5.1, 11.5.1, 13.1.1]",Viet Nam,Number,431
2017,Normal value,Units,Not Available,Annual,National,"Number of injured or ill people attributed to disasters [1.5.1, 11.5.1, 13.1.1]",Viet Nam,Number,668
2018,Normal value,Units,Not Available,Annual,National,"Number of injured or ill people attributed to disasters [1.5.1, 11.5.1, 13.1.1]",Viet Nam,Number,157
2019,Normal value,Units,Not Available,Annual,National,"Number of injured or ill people attributed to disasters [1.5.1, 11.5.1, 13.1.1]",Viet Nam,Number,183
