Year,Observation status,Unit multiplier,Nature of data points,Frequency of observation,Reporting type,SERIES,Reference area,Sex,Age,Degree of urbanisation,Education level,UNIT_MEASURE,Value
2010,Normal value,Units,Not Available,Annual,National,Proportion of ever-partnered women and girls subjected to physical violence by a current or former intimate partner in the previous 12 months [5.2.1],Viet Nam,Female,15 years old and over,,,Percent,6.4
2019,Normal value,Units,Not Available,Annual,National,Proportion of ever-partnered women and girls subjected to physical violence by a current or former intimate partner in the previous 12 months [5.2.1],Viet Nam,Female,15 years old and over,,,Percent,4.6
2019,Normal value,Units,Not Available,Annual,National,Proportion of ever-partnered women and girls subjected to physical violence by a current or former intimate partner in the previous 12 months [5.2.1],Viet Nam,Female,15 years old and over,Urban,,Percent,3.0
2019,Normal value,Units,Not Available,Annual,National,Proportion of ever-partnered women and girls subjected to physical violence by a current or former intimate partner in the previous 12 months [5.2.1],Viet Nam,Female,15 years old and over,Rural,,Percent,5.4
2019,Normal value,Units,Not Available,Annual,National,Proportion of ever-partnered women and girls subjected to physical violence by a current or former intimate partner in the previous 12 months [5.2.1],Viet Nam,Female,15 to 19 years old,,,Percent,2.4
2019,Normal value,Units,Not Available,Annual,National,Proportion of ever-partnered women and girls subjected to physical violence by a current or former intimate partner in the previous 12 months [5.2.1],Viet Nam,Female,20 to 24 years old,,,Percent,4.7
2010,Normal value,Units,Not Available,Annual,National,Proportion of ever-partnered women and girls subjected to physical violence by a current or former intimate partner in the previous 12 months [5.2.1],Viet Nam,Female,25 to 29 years old,,,Percent,9.2
2019,Normal value,Units,Not Available,Annual,National,Proportion of ever-partnered women and girls subjected to physical violence by a current or former intimate partner in the previous 12 months [5.2.1],Viet Nam,Female,25 to 29 years old,,,Percent,6.5
2010,Normal value,Units,Not Available,Annual,National,Proportion of ever-partnered women and girls subjected to physical violence by a current or former intimate partner in the previous 12 months [5.2.1],Viet Nam,Female,30 to 34 years old,,,Percent,7.5
2019,Normal value,Units,Not Available,Annual,National,Proportion of ever-partnered women and girls subjected to physical violence by a current or former intimate partner in the previous 12 months [5.2.1],Viet Nam,Female,30 to 34 years old,,,Percent,5.9
2010,Normal value,Units,Not Available,Annual,National,Proportion of ever-partnered women and girls subjected to physical violence by a current or former intimate partner in the previous 12 months [5.2.1],Viet Nam,Female,35 to 39 years old,,,Percent,8.3
2019,Normal value,Units,Not Available,Annual,National,Proportion of ever-partnered women and girls subjected to physical violence by a current or former intimate partner in the previous 12 months [5.2.1],Viet Nam,Female,35 to 39 years old,,,Percent,4.2
2010,Normal value,Units,Not Available,Annual,National,Proportion of ever-partnered women and girls subjected to physical violence by a current or former intimate partner in the previous 12 months [5.2.1],Viet Nam,Female,40 to 44 years old,,,Percent,6.2
2019,Normal value,Units,Not Available,Annual,National,Proportion of ever-partnered women and girls subjected to physical violence by a current or former intimate partner in the previous 12 months [5.2.1],Viet Nam,Female,40 to 44 years old,,,Percent,5.0
2010,Normal value,Units,Not Available,Annual,National,Proportion of ever-partnered women and girls subjected to physical violence by a current or former intimate partner in the previous 12 months [5.2.1],Viet Nam,Female,45 to 49 years old,,,Percent,5.6
2019,Normal value,Units,Not Available,Annual,National,Proportion of ever-partnered women and girls subjected to physical violence by a current or former intimate partner in the previous 12 months [5.2.1],Viet Nam,Female,45 to 49 years old,,,Percent,4.2
2010,Normal value,Units,Not Available,Annual,National,Proportion of ever-partnered women and girls subjected to physical violence by a current or former intimate partner in the previous 12 months [5.2.1],Viet Nam,Female,50 to 54 years old,,,Percent,5.2
2019,Normal value,Units,Not Available,Annual,National,Proportion of ever-partnered women and girls subjected to physical violence by a current or former intimate partner in the previous 12 months [5.2.1],Viet Nam,Female,50 to 54 years old,,,Percent,4.2
2010,Normal value,Units,Not Available,Annual,National,Proportion of ever-partnered women and girls subjected to physical violence by a current or former intimate partner in the previous 12 months [5.2.1],Viet Nam,Female,55 to 64 years old,,,Percent,0.9
2019,Normal value,Units,Not Available,Annual,National,Proportion of ever-partnered women and girls subjected to physical violence by a current or former intimate partner in the previous 12 months [5.2.1],Viet Nam,Female,55 to 64 years old,,,Percent,3.5
2019,Normal value,Units,Not Available,Annual,National,Proportion of ever-partnered women and girls subjected to physical violence by a current or former intimate partner in the previous 12 months [5.2.1],Viet Nam,Female,15 years old and over,,Never attended an education programme / No schooling,Percent,6.3
2019,Normal value,Units,Not Available,Annual,National,Proportion of ever-partnered women and girls subjected to physical violence by a current or former intimate partner in the previous 12 months [5.2.1],Viet Nam,Female,15 years old and over,,Primary education,Percent,6.5
2019,Normal value,Units,Not Available,Annual,National,Proportion of ever-partnered women and girls subjected to physical violence by a current or former intimate partner in the previous 12 months [5.2.1],Viet Nam,Female,15 years old and over,,Lower secondary education,Percent,3.8
2019,Normal value,Units,Not Available,Annual,National,Proportion of ever-partnered women and girls subjected to physical violence by a current or former intimate partner in the previous 12 months [5.2.1],Viet Nam,Female,15 years old and over,,Upper secondary education,Percent,3.7
2010,Normal value,Units,Not Available,Annual,National,Proportion of ever-partnered women and girls subjected to sexual violence by a current or former intimate partner in the previous 12 months [5.2.1],Viet Nam,Female,15 years old and over,,,Percent,4.2
2019,Normal value,Units,Not Available,Annual,National,Proportion of ever-partnered women and girls subjected to sexual violence by a current or former intimate partner in the previous 12 months [5.2.1],Viet Nam,Female,15 years old and over,,,Percent,5.7
2019,Normal value,Units,Not Available,Annual,National,Proportion of ever-partnered women and girls subjected to sexual violence by a current or former intimate partner in the previous 12 months [5.2.1],Viet Nam,Female,15 years old and over,Urban,,Percent,4.6
2019,Normal value,Units,Not Available,Annual,National,Proportion of ever-partnered women and girls subjected to sexual violence by a current or former intimate partner in the previous 12 months [5.2.1],Viet Nam,Female,15 years old and over,Rural,,Percent,6.2
2019,Normal value,Units,Not Available,Annual,National,Proportion of ever-partnered women and girls subjected to sexual violence by a current or former intimate partner in the previous 12 months [5.2.1],Viet Nam,Female,15 to 19 years old,,,Percent,5.9
2019,Normal value,Units,Not Available,Annual,National,Proportion of ever-partnered women and girls subjected to sexual violence by a current or former intimate partner in the previous 12 months [5.2.1],Viet Nam,Female,20 to 24 years old,,,Percent,7.4
2010,Normal value,Units,Not Available,Annual,National,Proportion of ever-partnered women and girls subjected to sexual violence by a current or former intimate partner in the previous 12 months [5.2.1],Viet Nam,Female,25 to 29 years old,,,Percent,7.0
2019,Normal value,Units,Not Available,Annual,National,Proportion of ever-partnered women and girls subjected to sexual violence by a current or former intimate partner in the previous 12 months [5.2.1],Viet Nam,Female,25 to 29 years old,,,Percent,7.1
2010,Normal value,Units,Not Available,Annual,National,Proportion of ever-partnered women and girls subjected to sexual violence by a current or former intimate partner in the previous 12 months [5.2.1],Viet Nam,Female,30 to 34 years old,,,Percent,4.7
2019,Normal value,Units,Not Available,Annual,National,Proportion of ever-partnered women and girls subjected to sexual violence by a current or former intimate partner in the previous 12 months [5.2.1],Viet Nam,Female,30 to 34 years old,,,Percent,8.3
2010,Normal value,Units,Not Available,Annual,National,Proportion of ever-partnered women and girls subjected to sexual violence by a current or former intimate partner in the previous 12 months [5.2.1],Viet Nam,Female,35 to 39 years old,,,Percent,5.5
2019,Normal value,Units,Not Available,Annual,National,Proportion of ever-partnered women and girls subjected to sexual violence by a current or former intimate partner in the previous 12 months [5.2.1],Viet Nam,Female,35 to 39 years old,,,Percent,5.7
2010,Normal value,Units,Not Available,Annual,National,Proportion of ever-partnered women and girls subjected to sexual violence by a current or former intimate partner in the previous 12 months [5.2.1],Viet Nam,Female,40 to 44 years old,,,Percent,5.2
2019,Normal value,Units,Not Available,Annual,National,Proportion of ever-partnered women and girls subjected to sexual violence by a current or former intimate partner in the previous 12 months [5.2.1],Viet Nam,Female,40 to 44 years old,,,Percent,6.1
2010,Normal value,Units,Not Available,Annual,National,Proportion of ever-partnered women and girls subjected to sexual violence by a current or former intimate partner in the previous 12 months [5.2.1],Viet Nam,Female,45 to 49 years old,,,Percent,3.9
2019,Normal value,Units,Not Available,Annual,National,Proportion of ever-partnered women and girls subjected to sexual violence by a current or former intimate partner in the previous 12 months [5.2.1],Viet Nam,Female,45 to 49 years old,,,Percent,4.6
2010,Normal value,Units,Not Available,Annual,National,Proportion of ever-partnered women and girls subjected to sexual violence by a current or former intimate partner in the previous 12 months [5.2.1],Viet Nam,Female,50 to 54 years old,,,Percent,2.1
2019,Normal value,Units,Not Available,Annual,National,Proportion of ever-partnered women and girls subjected to sexual violence by a current or former intimate partner in the previous 12 months [5.2.1],Viet Nam,Female,50 to 54 years old,,,Percent,4.7
2010,Normal value,Units,Not Available,Annual,National,Proportion of ever-partnered women and girls subjected to sexual violence by a current or former intimate partner in the previous 12 months [5.2.1],Viet Nam,Female,55 to 64 years old,,,Percent,0.8
2019,Normal value,Units,Not Available,Annual,National,Proportion of ever-partnered women and girls subjected to sexual violence by a current or former intimate partner in the previous 12 months [5.2.1],Viet Nam,Female,55 to 64 years old,,,Percent,3.0
2019,Normal value,Units,Not Available,Annual,National,Proportion of ever-partnered women and girls subjected to sexual violence by a current or former intimate partner in the previous 12 months [5.2.1],Viet Nam,Female,15 years old and over,,Never attended an education programme / No schooling,Percent,5.3
2019,Normal value,Units,Not Available,Annual,National,Proportion of ever-partnered women and girls subjected to sexual violence by a current or former intimate partner in the previous 12 months [5.2.1],Viet Nam,Female,15 years old and over,,Primary education,Percent,5.8
2019,Normal value,Units,Not Available,Annual,National,Proportion of ever-partnered women and girls subjected to sexual violence by a current or former intimate partner in the previous 12 months [5.2.1],Viet Nam,Female,15 years old and over,,Lower secondary education,Percent,5.5
2019,Normal value,Units,Not Available,Annual,National,Proportion of ever-partnered women and girls subjected to sexual violence by a current or former intimate partner in the previous 12 months [5.2.1],Viet Nam,Female,15 years old and over,,Upper secondary education,Percent,6.9
2010,Normal value,Units,Not Available,Annual,National,Proportion of ever-partnered women and girls subjected to psychological violence by a current or former intimate partner in the previous 12 months [5.2.1],Viet Nam,Female,15 years old and over,,,Percent,25.4
2019,Normal value,Units,Not Available,Annual,National,Proportion of ever-partnered women and girls subjected to psychological violence by a current or former intimate partner in the previous 12 months [5.2.1],Viet Nam,Female,15 years old and over,,,Percent,19.3
2019,Normal value,Units,Not Available,Annual,National,Proportion of ever-partnered women and girls subjected to psychological violence by a current or former intimate partner in the previous 12 months [5.2.1],Viet Nam,Female,15 years old and over,Urban,,Percent,16.0
2019,Normal value,Units,Not Available,Annual,National,Proportion of ever-partnered women and girls subjected to psychological violence by a current or former intimate partner in the previous 12 months [5.2.1],Viet Nam,Female,15 years old and over,Rural,,Percent,20.9
2019,Normal value,Units,Not Available,Annual,National,Proportion of ever-partnered women and girls subjected to psychological violence by a current or former intimate partner in the previous 12 months [5.2.1],Viet Nam,Female,15 to 19 years old,,,Percent,12.9
2019,Normal value,Units,Not Available,Annual,National,Proportion of ever-partnered women and girls subjected to psychological violence by a current or former intimate partner in the previous 12 months [5.2.1],Viet Nam,Female,20 to 24 years old,,,Percent,22.3
2019,Normal value,Units,Not Available,Annual,National,Proportion of ever-partnered women and girls subjected to psychological violence by a current or former intimate partner in the previous 12 months [5.2.1],Viet Nam,Female,25 to 29 years old,,,Percent,26.2
2019,Normal value,Units,Not Available,Annual,National,Proportion of ever-partnered women and girls subjected to psychological violence by a current or former intimate partner in the previous 12 months [5.2.1],Viet Nam,Female,30 to 34 years old,,,Percent,23.9
2019,Normal value,Units,Not Available,Annual,National,Proportion of ever-partnered women and girls subjected to psychological violence by a current or former intimate partner in the previous 12 months [5.2.1],Viet Nam,Female,35 to 39 years old,,,Percent,19.5
2019,Normal value,Units,Not Available,Annual,National,Proportion of ever-partnered women and girls subjected to psychological violence by a current or former intimate partner in the previous 12 months [5.2.1],Viet Nam,Female,40 to 44 years old,,,Percent,21.8
2019,Normal value,Units,Not Available,Annual,National,Proportion of ever-partnered women and girls subjected to psychological violence by a current or former intimate partner in the previous 12 months [5.2.1],Viet Nam,Female,45 to 49 years old,,,Percent,16.9
2019,Normal value,Units,Not Available,Annual,National,Proportion of ever-partnered women and girls subjected to psychological violence by a current or former intimate partner in the previous 12 months [5.2.1],Viet Nam,Female,50 to 54 years old,,,Percent,14.5
2019,Normal value,Units,Not Available,Annual,National,Proportion of ever-partnered women and girls subjected to psychological violence by a current or former intimate partner in the previous 12 months [5.2.1],Viet Nam,Female,55 to 64 years old,,,Percent,14.4
2019,Normal value,Units,Not Available,Annual,National,Proportion of ever-partnered women and girls subjected to psychological violence by a current or former intimate partner in the previous 12 months [5.2.1],Viet Nam,Female,15 years old and over,,Never attended an education programme / No schooling,Percent,18.6
2019,Normal value,Units,Not Available,Annual,National,Proportion of ever-partnered women and girls subjected to psychological violence by a current or former intimate partner in the previous 12 months [5.2.1],Viet Nam,Female,15 years old and over,,Primary education,Percent,20.1
2019,Normal value,Units,Not Available,Annual,National,Proportion of ever-partnered women and girls subjected to psychological violence by a current or former intimate partner in the previous 12 months [5.2.1],Viet Nam,Female,15 years old and over,,Lower secondary education,Percent,20.0
2019,Normal value,Units,Not Available,Annual,National,Proportion of ever-partnered women and girls subjected to psychological violence by a current or former intimate partner in the previous 12 months [5.2.1],Viet Nam,Female,15 years old and over,,Upper secondary education,Percent,18.8
