Year,Observation status,Unit multiplier,Nature of data points,Frequency of observation,Reporting type,SERIES,Reference area,Sex,Age,Degree of urbanisation,UNIT_MEASURE,Value
2010,Normal value,Units,Not Available,Annual,National,Unemployment rate [8.5.2],Viet Nam,,15 years old and over,,Percent,2.88
2011,Normal value,Units,Not Available,Annual,National,Unemployment rate [8.5.2],Viet Nam,,15 years old and over,,Percent,2.22
2012,Normal value,Units,Not Available,Annual,National,Unemployment rate [8.5.2],Viet Nam,,15 years old and over,,Percent,1.96
2013,Normal value,Units,Not Available,Annual,National,Unemployment rate [8.5.2],Viet Nam,,15 years old and over,,Percent,2.18
2014,Normal value,Units,Not Available,Annual,National,Unemployment rate [8.5.2],Viet Nam,,15 years old and over,,Percent,2.1
2015,Normal value,Units,Not Available,Annual,National,Unemployment rate [8.5.2],Viet Nam,,15 years old and over,,Percent,2.33
2016,Normal value,Units,Not Available,Annual,National,Unemployment rate [8.5.2],Viet Nam,,15 years old and over,,Percent,2.3
2017,Normal value,Units,Not Available,Annual,National,Unemployment rate [8.5.2],Viet Nam,,15 years old and over,,Percent,2.24
2018,Normal value,Units,Not Available,Annual,National,Unemployment rate [8.5.2],Viet Nam,,15 years old and over,,Percent,2.19
2019,Normal value,Units,Not Available,Annual,National,Unemployment rate [8.5.2],Viet Nam,,15 years old and over,,Percent,2.17
2010,Normal value,Units,Not Available,Annual,National,Unemployment rate [8.5.2],Viet Nam,Male,15 years old and over,,Percent,4.29
2011,Normal value,Units,Not Available,Annual,National,Unemployment rate [8.5.2],Viet Nam,Male,15 years old and over,,Percent,3.6
2012,Normal value,Units,Not Available,Annual,National,Unemployment rate [8.5.2],Viet Nam,Male,15 years old and over,,Percent,3.21
2013,Normal value,Units,Not Available,Annual,National,Unemployment rate [8.5.2],Viet Nam,Male,15 years old and over,,Percent,3.59
2014,Normal value,Units,Not Available,Annual,National,Unemployment rate [8.5.2],Viet Nam,Male,15 years old and over,,Percent,2.09
2015,Normal value,Units,Not Available,Annual,National,Unemployment rate [8.5.2],Viet Nam,Male,15 years old and over,,Percent,2.39
2016,Normal value,Units,Not Available,Annual,National,Unemployment rate [8.5.2],Viet Nam,Male,15 years old and over,,Percent,2.37
2017,Normal value,Units,Not Available,Annual,National,Unemployment rate [8.5.2],Viet Nam,Male,15 years old and over,,Percent,2.36
2018,Normal value,Units,Not Available,Annual,National,Unemployment rate [8.5.2],Viet Nam,Male,15 years old and over,,Percent,1.97
2019,Normal value,Units,Not Available,Annual,National,Unemployment rate [8.5.2],Viet Nam,Male,15 years old and over,,Percent,2.09
2010,Normal value,Units,Not Available,Annual,National,Unemployment rate [8.5.2],Viet Nam,Female,15 years old and over,,Percent,2.3
2011,Normal value,Units,Not Available,Annual,National,Unemployment rate [8.5.2],Viet Nam,Female,15 years old and over,,Percent,1.6
2012,Normal value,Units,Not Available,Annual,National,Unemployment rate [8.5.2],Viet Nam,Female,15 years old and over,,Percent,1.39
2013,Normal value,Units,Not Available,Annual,National,Unemployment rate [8.5.2],Viet Nam,Female,15 years old and over,,Percent,1.54
2014,Normal value,Units,Not Available,Annual,National,Unemployment rate [8.5.2],Viet Nam,Female,15 years old and over,,Percent,2.1
2015,Normal value,Units,Not Available,Annual,National,Unemployment rate [8.5.2],Viet Nam,Female,15 years old and over,,Percent,2.26
2016,Normal value,Units,Not Available,Annual,National,Unemployment rate [8.5.2],Viet Nam,Female,15 years old and over,,Percent,2.22
2017,Normal value,Units,Not Available,Annual,National,Unemployment rate [8.5.2],Viet Nam,Female,15 years old and over,,Percent,2.11
2018,Normal value,Units,Not Available,Annual,National,Unemployment rate [8.5.2],Viet Nam,Female,15 years old and over,,Percent,2.46
2019,Normal value,Units,Not Available,Annual,National,Unemployment rate [8.5.2],Viet Nam,Female,15 years old and over,,Percent,2.26
2014,Normal value,Units,Not Available,Annual,National,Unemployment rate [8.5.2],Viet Nam,,15 to 24 years old,,Percent,6.26
2015,Normal value,Units,Not Available,Annual,National,Unemployment rate [8.5.2],Viet Nam,,15 to 24 years old,,Percent,7.03
2016,Normal value,Units,Not Available,Annual,National,Unemployment rate [8.5.2],Viet Nam,,15 to 24 years old,,Percent,7.43
2017,Normal value,Units,Not Available,Annual,National,Unemployment rate [8.5.2],Viet Nam,,15 to 24 years old,,Percent,7.5
2018,Normal value,Units,Not Available,Annual,National,Unemployment rate [8.5.2],Viet Nam,,15 to 24 years old,,Percent,6.92
2019,Normal value,Units,Not Available,Annual,National,Unemployment rate [8.5.2],Viet Nam,,15 to 24 years old,,Percent,6.51
2014,Normal value,Units,Not Available,Annual,National,Unemployment rate [8.5.2],Viet Nam,,50 years old and over,,Percent,3.52
2015,Normal value,Units,Not Available,Annual,National,Unemployment rate [8.5.2],Viet Nam,,50 years old and over,,Percent,0.86
2016,Normal value,Units,Not Available,Annual,National,Unemployment rate [8.5.2],Viet Nam,,50 years old and over,,Percent,0.84
2017,Normal value,Units,Not Available,Annual,National,Unemployment rate [8.5.2],Viet Nam,,50 years old and over,,Percent,0.86
2018,Normal value,Units,Not Available,Annual,National,Unemployment rate [8.5.2],Viet Nam,,50 years old and over,,Percent,0.99
2019,Normal value,Units,Not Available,Annual,National,Unemployment rate [8.5.2],Viet Nam,,50 years old and over,,Percent,0.7
2010,Normal value,Units,Not Available,Annual,National,Unemployment rate [8.5.2],Viet Nam,,15 years old and over,Urban,Percent,4.29
2014,Normal value,Units,Not Available,Annual,National,Unemployment rate [8.5.2],Viet Nam,,15 years old and over,Urban,Percent,3.4
2015,Normal value,Units,Not Available,Annual,National,Unemployment rate [8.5.2],Viet Nam,,15 years old and over,Urban,Percent,3.56
2016,Normal value,Units,Not Available,Annual,National,Unemployment rate [8.5.2],Viet Nam,,15 years old and over,Urban,Percent,3.21
2017,Normal value,Units,Not Available,Annual,National,Unemployment rate [8.5.2],Viet Nam,,15 years old and over,Urban,Percent,3.17
2018,Normal value,Units,Not Available,Annual,National,Unemployment rate [8.5.2],Viet Nam,,15 years old and over,Urban,Percent,3.1
2019,Normal value,Units,Not Available,Annual,National,Unemployment rate [8.5.2],Viet Nam,,15 years old and over,Urban,Percent,3.11
2010,Normal value,Units,Not Available,Annual,National,Unemployment rate [8.5.2],Viet Nam,,15 years old and over,Rural,Percent,2.3
2014,Normal value,Units,Not Available,Annual,National,Unemployment rate [8.5.2],Viet Nam,,15 years old and over,Rural,Percent,1.49
2015,Normal value,Units,Not Available,Annual,National,Unemployment rate [8.5.2],Viet Nam,,15 years old and over,Rural,Percent,1.9
2016,Normal value,Units,Not Available,Annual,National,Unemployment rate [8.5.2],Viet Nam,,15 years old and over,Rural,Percent,1.84
2017,Normal value,Units,Not Available,Annual,National,Unemployment rate [8.5.2],Viet Nam,,15 years old and over,Rural,Percent,1.77
2018,Normal value,Units,Not Available,Annual,National,Unemployment rate [8.5.2],Viet Nam,,15 years old and over,Rural,Percent,1.74
2019,Normal value,Units,Not Available,Annual,National,Unemployment rate [8.5.2],Viet Nam,,15 years old and over,Rural,Percent,1.69
