Year,Observation status,Unit multiplier,Nature of data points,Frequency of observation,Reporting type,SERIES,Reference area,UNIT_MEASURE,Value
2010,Normal value,Millions,Not Available,Annual,National,Passenger volume (passenger kilometres) [9.1.2],Viet Nam,Passenger kilometres,97931.8
2011,Normal value,Millions,Not Available,Annual,National,Passenger volume (passenger kilometres) [9.1.2],Viet Nam,Passenger kilometres,108709.0
2012,Normal value,Millions,Not Available,Annual,National,Passenger volume (passenger kilometres) [9.1.2],Viet Nam,Passenger kilometres,116043.7
2013,Normal value,Millions,Not Available,Annual,National,Passenger volume (passenger kilometres) [9.1.2],Viet Nam,Passenger kilometres,124528.2
2014,Normal value,Millions,Not Available,Annual,National,Passenger volume (passenger kilometres) [9.1.2],Viet Nam,Passenger kilometres,139060.4
2015,Normal value,Millions,Not Available,Annual,National,Passenger volume (passenger kilometres) [9.1.2],Viet Nam,Passenger kilometres,154664.7
2016,Normal value,Millions,Not Available,Annual,National,Passenger volume (passenger kilometres) [9.1.2],Viet Nam,Passenger kilometres,169076.9
2017,Normal value,Millions,Not Available,Annual,National,Passenger volume (passenger kilometres) [9.1.2],Viet Nam,Passenger kilometres,186834.4
2018,Normal value,Millions,Not Available,Annual,National,Passenger volume (passenger kilometres) [9.1.2],Viet Nam,Passenger kilometres,206672.7
2019,Normal value,Millions,Not Available,Annual,National,Passenger volume (passenger kilometres) [9.1.2],Viet Nam,Passenger kilometres,230779.9
