Year,OBS_STATUS,UNIT_MULT,NATURE,FREQ,REPORTING_TYPE,SERIES,REF_AREA,URBANISATION,UNIT_MEASURE,Value
2016,A,0,_X,A,N,SD_MDP_MUHHC,VN,,PT,9.2
2017,A,0,_X,A,N,SD_MDP_MUHHC,VN,,PT,7.9
2018,A,0,_X,A,N,SD_MDP_MUHHC,VN,,PT,6.8
2019,A,0,_X,A,N,SD_MDP_MUHHC,VN,,PT,5.7
2016,A,0,_X,A,N,SD_MDP_MUHHC,VN,U,PT,3.5
2017,A,0,_X,A,N,SD_MDP_MUHHC,VN,U,PT,2.7
2018,A,0,_X,A,N,SD_MDP_MUHHC,VN,U,PT,1.5
2019,A,0,_X,A,N,SD_MDP_MUHHC,VN,U,PT,1.2
2016,A,0,_X,A,N,SD_MDP_MUHHC,VN,R,PT,11.8
2017,A,0,_X,A,N,SD_MDP_MUHHC,VN,R,PT,10.8
2018,A,0,_X,A,N,SD_MDP_MUHHC,VN,R,PT,9.6
2019,A,0,_X,A,N,SD_MDP_MUHHC,VN,R,PT,8.0
