Year,OBS_STATUS,UNIT_MULT,NATURE,FREQ,REPORTING_TYPE,SERIES,REF_AREA,SEX,AGE,URBANISATION,UNIT_MEASURE,Value
2014,A,0,_X,A,N,SL_ISV_IFEM,VN,,Y_GE15,,PT,58.8
2015,A,0,_X,A,N,SL_ISV_IFEM,VN,,Y_GE15,,PT,58.3
2016,A,0,_X,A,N,SL_ISV_IFEM,VN,,Y_GE15,,PT,57.2
2017,A,0,_X,A,N,SL_ISV_IFEM,VN,,Y_GE15,,PT,57.2
2018,A,0,_X,A,N,SL_ISV_IFEM,VN,,Y_GE15,,PT,56.2
2019,A,0,_X,A,N,SL_ISV_IFEM,VN,,Y_GE15,,PT,54.6
2016,A,0,_X,A,N,SL_ISV_IFEM,VN,M,Y_GE15,,PT,60.7
2017,A,0,_X,A,N,SL_ISV_IFEM,VN,M,Y_GE15,,PT,61.3
2018,A,0,_X,A,N,SL_ISV_IFEM,VN,M,Y_GE15,,PT,60.3
2019,A,0,_X,A,N,SL_ISV_IFEM,VN,M,Y_GE15,,PT,60.2
2016,A,0,_X,A,N,SL_ISV_IFEM,VN,F,Y_GE15,,PT,53.3
2017,A,0,_X,A,N,SL_ISV_IFEM,VN,F,Y_GE15,,PT,52.6
2018,A,0,_X,A,N,SL_ISV_IFEM,VN,F,Y_GE15,,PT,51.6
2019,A,0,_X,A,N,SL_ISV_IFEM,VN,F,Y_GE15,,PT,51.2
2014,A,0,_X,A,N,SL_ISV_IFEM,VN,,Y_GE15,U,PT,49.2
2015,A,0,_X,A,N,SL_ISV_IFEM,VN,,Y_GE15,U,PT,49.3
2016,A,0,_X,A,N,SL_ISV_IFEM,VN,,Y_GE15,U,PT,48.5
2017,A,0,_X,A,N,SL_ISV_IFEM,VN,,Y_GE15,U,PT,48.8
2018,A,0,_X,A,N,SL_ISV_IFEM,VN,,Y_GE15,U,PT,48.1
2019,A,0,_X,A,N,SL_ISV_IFEM,VN,,Y_GE15,U,PT,46.3
2014,A,0,_X,A,N,SL_ISV_IFEM,VN,,Y_GE15,R,PT,67.7
2015,A,0,_X,A,N,SL_ISV_IFEM,VN,,Y_GE15,R,PT,66.5
2016,A,0,_X,A,N,SL_ISV_IFEM,VN,,Y_GE15,R,PT,65.2
2017,A,0,_X,A,N,SL_ISV_IFEM,VN,,Y_GE15,R,PT,64.5
2018,A,0,_X,A,N,SL_ISV_IFEM,VN,,Y_GE15,R,PT,62.9
2019,A,0,_X,A,N,SL_ISV_IFEM,VN,,Y_GE15,R,PT,61.7
