Year,OBS_STATUS,UNIT_MULT,NATURE,FREQ,REPORTING_TYPE,SERIES,REF_AREA,SEX,AGE,URBANISATION,UNIT_MEASURE,Value
2010,A,0,_X,A,N,SP_DYN_MRBF15,VN,F,Y20T24,,PT,0.5
2014,A,0,_X,A,N,SP_DYN_MRBF15,VN,F,Y20T24,,PT,0.9
2019,A,0,_X,A,N,SP_DYN_MRBF15,VN,F,Y20T24,,PT,0.4
2019,A,0,_X,A,N,SP_DYN_MRBF15,VN,F,Y20T24,U,PT,0.1
2019,A,0,_X,A,N,SP_DYN_MRBF15,VN,F,Y20T24,R,PT,0.5
2019,A,0,_X,A,N,SP_DYN_MRBF15,VN_01,F,Y20T24,,PT,0.1
2019,A,0,_X,A,N,SP_DYN_MRBF15,VN_02,F,Y20T24,,PT,1.3
2019,A,0,_X,A,N,SP_DYN_MRBF15,VN_03,F,Y20T24,,PT,0.2
2019,A,0,_X,A,N,SP_DYN_MRBF15,VN_04,F,Y20T24,,PT,0.9
2019,A,0,_X,A,N,SP_DYN_MRBF15,VN_05,F,Y20T24,,PT,0.1
2019,A,0,_X,A,N,SP_DYN_MRBF15,VN_06,F,Y20T24,,PT,0.3
2019,A,0,_X,A,N,SP_DYN_MRBF15,01,F,Y20T24,,PT,0.1
2019,A,0,_X,A,N,SP_DYN_MRBF15,26,F,Y20T24,,PT,0.1
2019,A,0,_X,A,N,SP_DYN_MRBF15,27,F,Y20T24,,PT,0.0
2019,A,0,_X,A,N,SP_DYN_MRBF15,22,F,Y20T24,,PT,0.2
2019,A,0,_X,A,N,SP_DYN_MRBF15,30,F,Y20T24,,PT,0.1
2019,A,0,_X,A,N,SP_DYN_MRBF15,31,F,Y20T24,,PT,0.1
2019,A,0,_X,A,N,SP_DYN_MRBF15,33,F,Y20T24,,PT,0.1
2019,A,0,_X,A,N,SP_DYN_MRBF15,34,F,Y20T24,,PT,0.0
2019,A,0,_X,A,N,SP_DYN_MRBF15,35,F,Y20T24,,PT,0.0
2019,A,0,_X,A,N,SP_DYN_MRBF15,36,F,Y20T24,,PT,0.0
2019,A,0,_X,A,N,SP_DYN_MRBF15,37,F,Y20T24,,PT,0.0
2019,A,0,_X,A,N,SP_DYN_MRBF15,02,F,Y20T24,,PT,1.4
2019,A,0,_X,A,N,SP_DYN_MRBF15,04,F,Y20T24,,PT,2.4
2019,A,0,_X,A,N,SP_DYN_MRBF15,06,F,Y20T24,,PT,2.8
2019,A,0,_X,A,N,SP_DYN_MRBF15,08,F,Y20T24,,PT,0.6
2019,A,0,_X,A,N,SP_DYN_MRBF15,10,F,Y20T24,,PT,2.0
2019,A,0,_X,A,N,SP_DYN_MRBF15,15,F,Y20T24,,PT,1.8
2019,A,0,_X,A,N,SP_DYN_MRBF15,19,F,Y20T24,,PT,0.2
2019,A,0,_X,A,N,SP_DYN_MRBF15,20,F,Y20T24,,PT,0.3
2019,A,0,_X,A,N,SP_DYN_MRBF15,24,F,Y20T24,,PT,0.1
2019,A,0,_X,A,N,SP_DYN_MRBF15,25,F,Y20T24,,PT,0.1
2019,A,0,_X,A,N,SP_DYN_MRBF15,11,F,Y20T24,,PT,3.5
2019,A,0,_X,A,N,SP_DYN_MRBF15,12,F,Y20T24,,PT,3.7
2019,A,0,_X,A,N,SP_DYN_MRBF15,14,F,Y20T24,,PT,3.3
2019,A,0,_X,A,N,SP_DYN_MRBF15,17,F,Y20T24,,PT,0.5
2019,A,0,_X,A,N,SP_DYN_MRBF15,38,F,Y20T24,,PT,0.2
2019,A,0,_X,A,N,SP_DYN_MRBF15,40,F,Y20T24,,PT,0.3
2019,A,0,_X,A,N,SP_DYN_MRBF15,42,F,Y20T24,,PT,0.0
2019,A,0,_X,A,N,SP_DYN_MRBF15,44,F,Y20T24,,PT,0.0
2019,A,0,_X,A,N,SP_DYN_MRBF15,45,F,Y20T24,,PT,0.6
2019,A,0,_X,A,N,SP_DYN_MRBF15,46,F,Y20T24,,PT,0.1
2019,A,0,_X,A,N,SP_DYN_MRBF15,48,F,Y20T24,,PT,0.1
2019,A,0,_X,A,N,SP_DYN_MRBF15,49,F,Y20T24,,PT,0.1
2019,A,0,_X,A,N,SP_DYN_MRBF15,51,F,Y20T24,,PT,0.9
2019,A,0,_X,A,N,SP_DYN_MRBF15,52,F,Y20T24,,PT,0.1
2019,A,0,_X,A,N,SP_DYN_MRBF15,54,F,Y20T24,,PT,0.6
2019,A,0,_X,A,N,SP_DYN_MRBF15,56,F,Y20T24,,PT,0.2
2019,A,0,_X,A,N,SP_DYN_MRBF15,58,F,Y20T24,,PT,0.6
2019,A,0,_X,A,N,SP_DYN_MRBF15,60,F,Y20T24,,PT,0.1
2019,A,0,_X,A,N,SP_DYN_MRBF15,62,F,Y20T24,,PT,0.8
2019,A,0,_X,A,N,SP_DYN_MRBF15,64,F,Y20T24,,PT,1.8
2019,A,0,_X,A,N,SP_DYN_MRBF15,66,F,Y20T24,,PT,0.5
2019,A,0,_X,A,N,SP_DYN_MRBF15,67,F,Y20T24,,PT,1.2
2019,A,0,_X,A,N,SP_DYN_MRBF15,68,F,Y20T24,,PT,0.4
2019,A,0,_X,A,N,SP_DYN_MRBF15,70,F,Y20T24,,PT,0.3
2019,A,0,_X,A,N,SP_DYN_MRBF15,72,F,Y20T24,,PT,0.2
2019,A,0,_X,A,N,SP_DYN_MRBF15,74,F,Y20T24,,PT,0.1
2019,A,0,_X,A,N,SP_DYN_MRBF15,75,F,Y20T24,,PT,0.1
2019,A,0,_X,A,N,SP_DYN_MRBF15,77,F,Y20T24,,PT,0.1
2019,A,0,_X,A,N,SP_DYN_MRBF15,79,F,Y20T24,,PT,0.1
2019,A,0,_X,A,N,SP_DYN_MRBF15,80,F,Y20T24,,PT,0.2
