Year,OBS_STATUS,UNIT_MULT,NATURE,FREQ,REPORTING_TYPE,SERIES,REF_AREA,URBANISATION,UNIT_MEASURE,Value
2010,A,0,_X,A,N,EG_ACS_ELEC,VN,,PT,97.2
2012,A,0,_X,A,N,EG_ACS_ELEC,VN,,PT,97.6
2014,A,0,_X,A,N,EG_ACS_ELEC,VN,,PT,98.3
2016,A,0,_X,A,N,EG_ACS_ELEC,VN,,PT,98.8
2018,A,0,_X,A,N,EG_ACS_ELEC,VN,,PT,99
2020,A,0,_X,A,N,EG_ACS_ELEC,VN,,PT,BC SDG
2010,A,0,_X,A,N,EG_ACS_ELEC,VN,U,PT,99.6
2012,A,0,_X,A,N,EG_ACS_ELEC,VN,U,PT,99.8
2014,A,0,_X,A,N,EG_ACS_ELEC,VN,U,PT,99.8
2016,A,0,_X,A,N,EG_ACS_ELEC,VN,U,PT,99.8
2018,A,0,_X,A,N,EG_ACS_ELEC,VN,U,PT,99.9
2020,A,0,_X,A,N,EG_ACS_ELEC,VN,U,PT,BC SDG
2010,A,0,_X,A,N,EG_ACS_ELEC,VN,R,PT,96.2
2012,A,0,_X,A,N,EG_ACS_ELEC,VN,R,PT,96.6
2014,A,0,_X,A,N,EG_ACS_ELEC,VN,R,PT,97.6
2016,A,0,_X,A,N,EG_ACS_ELEC,VN,R,PT,98.3
2018,A,0,_X,A,N,EG_ACS_ELEC,VN,R,PT,98.6
2020,A,0,_X,A,N,EG_ACS_ELEC,VN,R,PT,BC SDG
2010,A,0,_X,A,N,EG_ACS_ELEC,VN_01,,PT,99.7
2012,A,0,_X,A,N,EG_ACS_ELEC,VN_01,,PT,99.9
2014,A,0,_X,A,N,EG_ACS_ELEC,VN_01,,PT,99.9
2016,A,0,_X,A,N,EG_ACS_ELEC,VN_01,,PT,99.9
2018,A,0,_X,A,N,EG_ACS_ELEC,VN_01,,PT,99.8
2010,A,0,_X,A,N,EG_ACS_ELEC,VN_02,,PT,91.1
2012,A,0,_X,A,N,EG_ACS_ELEC,VN_02,,PT,90.7
2014,A,0,_X,A,N,EG_ACS_ELEC,VN_02,,PT,93
2016,A,0,_X,A,N,EG_ACS_ELEC,VN_02,,PT,94.8
2018,A,0,_X,A,N,EG_ACS_ELEC,VN_02,,PT,96.4
2010,A,0,_X,A,N,EG_ACS_ELEC,VN_03,,PT,97.3
2012,A,0,_X,A,N,EG_ACS_ELEC,VN_03,,PT,97.6
2014,A,0,_X,A,N,EG_ACS_ELEC,VN_03,,PT,98.3
2016,A,0,_X,A,N,EG_ACS_ELEC,VN_03,,PT,98.6
2018,A,0,_X,A,N,EG_ACS_ELEC,VN_03,,PT,98.6
2010,A,0,_X,A,N,EG_ACS_ELEC,VN_04,,PT,96.8
2012,A,0,_X,A,N,EG_ACS_ELEC,VN_04,,PT,97.5
2014,A,0,_X,A,N,EG_ACS_ELEC,VN_04,,PT,98.2
2016,A,0,_X,A,N,EG_ACS_ELEC,VN_04,,PT,98.9
2018,A,0,_X,A,N,EG_ACS_ELEC,VN_04,,PT,99.5
2010,A,0,_X,A,N,EG_ACS_ELEC,VN_05,,PT,98.9
2012,A,0,_X,A,N,EG_ACS_ELEC,VN_05,,PT,99.3
2014,A,0,_X,A,N,EG_ACS_ELEC,VN_05,,PT,99.3
2016,A,0,_X,A,N,EG_ACS_ELEC,VN_05,,PT,99.7
2018,A,0,_X,A,N,EG_ACS_ELEC,VN_05,,PT,99.9
2010,A,0,_X,A,N,EG_ACS_ELEC,VN_06,,PT,96.6
2012,A,0,_X,A,N,EG_ACS_ELEC,VN_06,,PT,97.8
2014,A,0,_X,A,N,EG_ACS_ELEC,VN_06,,PT,99.1
2016,A,0,_X,A,N,EG_ACS_ELEC,VN_06,,PT,99.6
2018,A,0,_X,A,N,EG_ACS_ELEC,VN_06,,PT,99.5
2010,A,0,_X,A,N,EG_ACS_ELEC,01,,PT,99.9
2012,A,0,_X,A,N,EG_ACS_ELEC,01,,PT,100
2014,A,0,_X,A,N,EG_ACS_ELEC,01,,PT,99.9
2016,A,0,_X,A,N,EG_ACS_ELEC,01,,PT,99.9
2018,A,0,_X,A,N,EG_ACS_ELEC,01,,PT,99.8
2010,A,0,_X,A,N,EG_ACS_ELEC,26,,PT,99.6
2012,A,0,_X,A,N,EG_ACS_ELEC,26,,PT,100
2014,A,0,_X,A,N,EG_ACS_ELEC,26,,PT,100
2016,A,0,_X,A,N,EG_ACS_ELEC,26,,PT,100
2018,A,0,_X,A,N,EG_ACS_ELEC,26,,PT,99.6
2010,A,0,_X,A,N,EG_ACS_ELEC,27,,PT,100
2012,A,0,_X,A,N,EG_ACS_ELEC,27,,PT,99.9
2014,A,0,_X,A,N,EG_ACS_ELEC,27,,PT,100
2016,A,0,_X,A,N,EG_ACS_ELEC,27,,PT,100
2018,A,0,_X,A,N,EG_ACS_ELEC,27,,PT,100
2010,A,0,_X,A,N,EG_ACS_ELEC,22,,PT,99.2
2012,A,0,_X,A,N,EG_ACS_ELEC,22,,PT,100
2014,A,0,_X,A,N,EG_ACS_ELEC,22,,PT,99.9
2016,A,0,_X,A,N,EG_ACS_ELEC,22,,PT,100
2018,A,0,_X,A,N,EG_ACS_ELEC,22,,PT,100
2010,A,0,_X,A,N,EG_ACS_ELEC,30,,PT,99.2
2012,A,0,_X,A,N,EG_ACS_ELEC,30,,PT,99.9
2014,A,0,_X,A,N,EG_ACS_ELEC,30,,PT,99.7
2016,A,0,_X,A,N,EG_ACS_ELEC,30,,PT,100
2018,A,0,_X,A,N,EG_ACS_ELEC,30,,PT,99.8
2010,A,0,_X,A,N,EG_ACS_ELEC,31,,PT,99.9
2012,A,0,_X,A,N,EG_ACS_ELEC,31,,PT,99.9
2014,A,0,_X,A,N,EG_ACS_ELEC,31,,PT,99.8
2016,A,0,_X,A,N,EG_ACS_ELEC,31,,PT,99.8
2018,A,0,_X,A,N,EG_ACS_ELEC,31,,PT,100
2010,A,0,_X,A,N,EG_ACS_ELEC,33,,PT,99.6
2012,A,0,_X,A,N,EG_ACS_ELEC,33,,PT,99.7
2014,A,0,_X,A,N,EG_ACS_ELEC,33,,PT,99.9
2016,A,0,_X,A,N,EG_ACS_ELEC,33,,PT,100
2018,A,0,_X,A,N,EG_ACS_ELEC,33,,PT,100
2010,A,0,_X,A,N,EG_ACS_ELEC,34,,PT,100
2012,A,0,_X,A,N,EG_ACS_ELEC,34,,PT,99.9
2014,A,0,_X,A,N,EG_ACS_ELEC,34,,PT,100
2016,A,0,_X,A,N,EG_ACS_ELEC,34,,PT,100
2018,A,0,_X,A,N,EG_ACS_ELEC,34,,PT,99.7
2010,A,0,_X,A,N,EG_ACS_ELEC,35,,PT,99.8
2012,A,0,_X,A,N,EG_ACS_ELEC,35,,PT,100
2014,A,0,_X,A,N,EG_ACS_ELEC,35,,PT,99.9
2016,A,0,_X,A,N,EG_ACS_ELEC,35,,PT,100
2018,A,0,_X,A,N,EG_ACS_ELEC,35,,PT,100
2010,A,0,_X,A,N,EG_ACS_ELEC,36,,PT,99.6
2012,A,0,_X,A,N,EG_ACS_ELEC,36,,PT,99.9
2014,A,0,_X,A,N,EG_ACS_ELEC,36,,PT,99.8
2016,A,0,_X,A,N,EG_ACS_ELEC,36,,PT,100
2018,A,0,_X,A,N,EG_ACS_ELEC,36,,PT,100
2010,A,0,_X,A,N,EG_ACS_ELEC,37,,PT,99.9
2012,A,0,_X,A,N,EG_ACS_ELEC,37,,PT,100
2014,A,0,_X,A,N,EG_ACS_ELEC,37,,PT,100
2016,A,0,_X,A,N,EG_ACS_ELEC,37,,PT,100
2018,A,0,_X,A,N,EG_ACS_ELEC,37,,PT,100
2010,A,0,_X,A,N,EG_ACS_ELEC,02,,PT,81.8
2012,A,0,_X,A,N,EG_ACS_ELEC,02,,PT,78.3
2014,A,0,_X,A,N,EG_ACS_ELEC,02,,PT,77.7
2016,A,0,_X,A,N,EG_ACS_ELEC,02,,PT,90.8
2018,A,0,_X,A,N,EG_ACS_ELEC,02,,PT,85.5
2010,A,0,_X,A,N,EG_ACS_ELEC,04,,PT,80.2
2012,A,0,_X,A,N,EG_ACS_ELEC,04,,PT,81.7
2014,A,0,_X,A,N,EG_ACS_ELEC,04,,PT,82.3
2016,A,0,_X,A,N,EG_ACS_ELEC,04,,PT,82.2
2018,A,0,_X,A,N,EG_ACS_ELEC,04,,PT,89.9
2010,A,0,_X,A,N,EG_ACS_ELEC,06,,PT,87.7
2012,A,0,_X,A,N,EG_ACS_ELEC,06,,PT,90.2
2014,A,0,_X,A,N,EG_ACS_ELEC,06,,PT,88.4
2016,A,0,_X,A,N,EG_ACS_ELEC,06,,PT,95.3
2018,A,0,_X,A,N,EG_ACS_ELEC,06,,PT,97
2010,A,0,_X,A,N,EG_ACS_ELEC,08,,PT,88.5
2012,A,0,_X,A,N,EG_ACS_ELEC,08,,PT,97
2014,A,0,_X,A,N,EG_ACS_ELEC,08,,PT,96.1
2016,A,0,_X,A,N,EG_ACS_ELEC,08,,PT,96.5
2018,A,0,_X,A,N,EG_ACS_ELEC,08,,PT,96.5
2010,A,0,_X,A,N,EG_ACS_ELEC,10,,PT,85.6
2012,A,0,_X,A,N,EG_ACS_ELEC,10,,PT,91.2
2014,A,0,_X,A,N,EG_ACS_ELEC,10,,PT,89.2
2016,A,0,_X,A,N,EG_ACS_ELEC,10,,PT,93.4
2018,A,0,_X,A,N,EG_ACS_ELEC,10,,PT,93.2
2010,A,0,_X,A,N,EG_ACS_ELEC,15,,PT,90.8
2012,A,0,_X,A,N,EG_ACS_ELEC,15,,PT,91.7
2014,A,0,_X,A,N,EG_ACS_ELEC,15,,PT,93.2
2016,A,0,_X,A,N,EG_ACS_ELEC,15,,PT,92.8
2018,A,0,_X,A,N,EG_ACS_ELEC,15,,PT,95
2010,A,0,_X,A,N,EG_ACS_ELEC,19,,PT,99.9
